data_for_id,imb_open,imb_close,Open,High,Low,Close,ser_no,imb_diff
1772,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1773,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1773,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1773,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1774,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1774,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1774,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1775,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1775,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1775,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1776,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1776,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1776,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1777,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1777,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1777,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1778,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1778,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1778,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1779,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1779,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1779,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1780,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1780,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1780,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1781,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1781,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1781,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1782,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1782,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1782,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
